title,character,character_alias,actor
Captain America: The First Avenger,Captain America,Steve Rogers,Chris Evans
Captain America: The First Avenger,Peggy Carter,,Hayley Atwell
Captain America: The First Avenger,James Buchanan 'Bucky' Barnes,,Sebastian Stan
Captain America: The First Avenger,Colonel Chester Phillips,,Tommy Lee Jones
Captain America: The First Avenger,Johann Schmidt,Red Skull,Hugo Weaving
Captain America: The First Avenger,Howard Stark,,Dominic Cooper
Captain America: The First Avenger,Heinz Kruger,,Richard Armitage
Captain America: The First Avenger,Dr. Abraham Erskine,,Stanley Tucci
Captain America: The First Avenger,Nick Fury,,Samuel L. Jackson
Captain America: The First Avenger,Dr. Arnim Zola,,Toby Jones
Captain America: The First Avenger,Timothy 'Dum Dum' Dugan,,Neal McDonough
Captain America: The First Avenger,Gabe Jones,,Derek Luke
Captain America: The First Avenger,Jim Morita,,Kenneth Choi
Captain America: The First Avenger,James Montgomery Falsworth,,JJ Feild
Captain America: The First Avenger,Jacques Dernier,,Bruno Ricci
Captain America: The First Avenger,Gilmore Hodge,,Lex Shrapnel
Captain America: The First Avenger,Senator Brandt,,Michael Brandon
Captain America: The First Avenger,Brandt's Aide,,Martin Sherman
Captain America: The First Avenger,Pvt. Lorraine,,Natalie Dormer
Captain America: The First Avenger,Search Team Leader,,Oscar Pearce
Captain America: The First Avenger,S.H.I.E.L.D. Lieutenant,,William Hope
Captain America: The First Avenger,S.H.I.E.L.D. Tech,,Nicholas Pinnock
Captain America: The First Avenger,Jan,,Marek Oravec
Captain America: The First Avenger,Tower Keeper,,David Bradley
Captain America: The First Avenger,Steve Rogers Double,Barman,Leander Deeny
Captain America: The First Avenger,Nervous Recruit,,Sam Hoare
Captain America: The First Avenger,4F Doctor,,Simon Kunz
Captain America: The First Avenger,Loud Jerk,,Kieran O'Connor
Captain America: The First Avenger,Connie,,Jenna Coleman
Captain America: The First Avenger,Bonnie,,Sophie Colquhoun
Captain America: The First Avenger,Young Doctor,,Doug Cockle
Captain America: The First Avenger,Enlistment Office MP,,Ben Batt
Captain America: The First Avenger,Stark Girl,,Mollie Fitzgerald
Captain America: The First Avenger,Sergeant Duffy,,Damon Driver
Captain America: The First Avenger,Johann Schmidt's Artist,,David McKail
Captain America: The First Avenger,Antique Store Owner,,Amanda Walker
Captain America: The First Avenger,SSR Doctor,,Richard Freeman
Captain America: The First Avenger,Project Rebirth Nurse,,Katherine Press
Captain America: The First Avenger,Kruger's Aide,,Sergio James
Captain America: The First Avenger,Undercover Bum,,Marcello Walton
Captain America: The First Avenger,Undercover Bum,,Vincent Montuel
Captain America: The First Avenger,Kruger's Driver,,Fabrizio Santino
Captain America: The First Avenger,Boy at Dock,,Maxwell Newman
Captain America: The First Avenger,Roeder,,Anatole Taubman
Captain America: The First Avenger,Hutter,,Jan Pohl
Captain America: The First Avenger,Schneider,,Erich Redman
Captain America: The First Avenger,The Star Spangled Singer,,Rosanna Hoult
Captain America: The First Avenger,The Star Spangled Singer,,Naomi Slights
Captain America: The First Avenger,The Star Spangled Singer,,Kirsty Mather
Captain America: The First Avenger,Kid in USO Audience,,Megan Sanderson
Captain America: The First Avenger,Kid in USO Audience,,Darren Simpson
Captain America: The First Avenger,Newsstand Mom,,Fernanda Toker
Captain America: The First Avenger,Autograph Seeker,,Laura Haddock
Captain America: The First Avenger,'Adolph Hitler',,James Payton
Captain America: The First Avenger,Army Heckler,,Ronan Raftery
Captain America: The First Avenger,Army Heckler,,Nick Hendrix
Captain America: The First Avenger,Army Heckler,,Luke Allen-Gale
Captain America: The First Avenger,Army Heckler,,Jack Gordon
Captain America: The First Avenger,HYDRA Guard,HYDRA Pilot,Benjamin Uttley
Captain America: The First Avenger,Stark's Engineer,,Kevin Millington
Captain America: The First Avenger,Manager Velt,,Patrick Monckeberg
Captain America: The First Avenger,HYDRA Lieutenant,,Peter Stark
Captain America: The First Avenger,S.H.I.E.L.D. Agent,,Amanda Righetti
Captain America: The First Avenger,USO Dancer,,Jennifer Abbotts
Captain America: The First Avenger,USO Dancer,,Michelle Antrobus
Captain America: The First Avenger,USO Dancer,,Lucy Dean
Captain America: The First Avenger,USO Dancer,,Erin Dusek
Captain America: The First Avenger,USO Dancer,,Nicole Evans
Captain America: The First Avenger,USO Dancer,,Lizzi Franklin
Captain America: The First Avenger,USO Dancer,,Emma Harris
Captain America: The First Avenger,USO Dancer,,Rachael Isherwood
Captain America: The First Avenger,USO Dancer,,Danielle Kelly
Captain America: The First Avenger,USO Dancer,,Nicole May
Captain America: The First Avenger,USO Dancer,,Stevie-Jean McGuire
Captain America: The First Avenger,USO Dancer,,Anna McNicholas
Captain America: The First Avenger,USO Dancer,,Rosie Pethullis
Captain America: The First Avenger,USO Dancer,,Jessica Powell
Captain America: The First Avenger,USO Dancer,,Rai Quartley
Captain America: The First Avenger,USO Dancer,,Sarah Riches
Captain America: The First Avenger,USO Dancer,,Holly Rostron
Captain America: The First Avenger,USO Dancer,,Caroline Royce
Captain America: The First Avenger,USO Dancer,,Stephanie Jayne Thompson
Captain America: The First Avenger,USO Dancer,,Lucie Waugh
Captain America: The First Avenger,USO Drummer,,Billy Lozowski
Captain America: The First Avenger,USO Drummer,,Gregory Paulett
Captain America: The First Avenger,USO Drummer,,Adam Birch
Captain America: The First Avenger,USO Drummer,,Adam Kent
Captain America: The First Avenger,USO Drummer,,Wiliam Morris
Captain America: The First Avenger,USO Drummer,,David Sdall
Captain America: The First Avenger,USO Drummer,,Paul Simmons
Captain America: The First Avenger,USO Drummer,,Marc Wheeler
Captain America: The First Avenger,USO Drummer,,Chris Diggle
Captain America: The First Avenger,USO Drummer,,Michael Humphrey
Marvel One-Shot: Agent Carter,Peggy Carter,,Hayley Atwell
Marvel One-Shot: Agent Carter,Agent Flynn,,Bradley Whitford
Marvel One-Shot: Agent Carter,Howard Stark,,Dominic Cooper
Marvel One-Shot: Agent Carter,Disembodied Voice,,Shane Black
Marvel One-Shot: Agent Carter,Dum Dum Dugan,,Neal McDonough
Marvel One-Shot: Agent Carter,Hefty Guard,,Tim Trobec
Marvel One-Shot: Agent Carter,Analyst,,Jon Barinholtz
Marvel One-Shot: Agent Carter,Guard #1,,Anthony Molinari
Marvel One-Shot: Agent Carter,Guard #2,,Jess King
Marvel One-Shot: Agent Carter,Goon #1,,Mark Aaron Wagner
Marvel One-Shot: Agent Carter,Goon #2,,David Hutchison
Marvel One-Shot: Agent Carter,Goon #3,,Jacob McCafferty
